Category;Class;Type;Tier;Subtype;Name;Description
Spell;Geomancer;Prime;1;Projectile;Sand Bullet;You flick your finger and shoot a small sand bullet in mid-range, dealing 2d4 points of piercing damage.
Spell;Geomancer;Prime;1;Self;Ancestral Faces;A stone shield in the shape of a face levitates around you or an ally in mid-range, penalizing ranged attacks with disadvantage.
Spell;Geomancer;Prime;2;Pinpoint;Earth Spike;You command the earth to form a spike in mid-range, piercing one target. The spike deals 1d10 bludgeoning damage and 2d4 piercing damage.
Spell;Geomancer;Prime;3;Projectile;Catapult;You extend your arm and perform an arch throw, tossing a rock at mid-range. The rock shatters in pieces upon impact, dealing 3d8 bludgeoning damage to the target.
Spell;Geomancer;Boost;1;Melee;Rck Hammer;Infuse your arm or a weapon with earth, creating a hard rock exterior that deals an extra 1d8 points of bludgeoning damage.
Spell;Geomancer;Boost;1;Self;Spiked Armor;Your skin grows spikes that deal 1d4 sunder damage to enemy weapons.
Spell;Geomancer;Condition;1;Self;Grease;You cover a small radius area around you in grease, slowing anyone that enters the terrain. You are not affected by this.
Spell;Geomancer;Boost;1;Projectile;Quick Shot;
Spell;Geomancer;Boost;2;Projectile;Quick Shot;
Spell;Geomancer;Boost;3;Projectile;Quick Shot;
Spell;Geomancer;Boost;4;Projectile;Quick Shot;
Spell;Geomancer;Boost;5;Projectile;Quick Shot;
Spell;Geomancer;Boost;6;Projectile;Quick Shot;
Spell;Geomancer;Boost;7;Projectile;Quick Shot;
Spell;Geomancer;Boost;8;Projectile;Quick Shot;
Spell;Geomancer;Boost;9;Projectile;Quick Shot;
Spell;Geomancer;Boost;10;Projectile;Quick Shot;
Spell;Geomancer;Boost;11;Projectile;Quick Shot;
Spell;Geomancer;Boost;12;Projectile;Quick Shot;
Spell;Geomancer;Boost;13;Projectile;Quick Shot;
